,temporada_alta,Fecha-I-O-Diff,atraso_15,periodo_dia
0,1,3.0,0,noche
1,1,9.0,0,noche
2,1,9.0,0,noche
3,0,3.0,0,noche
4,0,-2.0000000000000004,0,noche
5,0,34.00000000000001,1,noche
6,0,-5.0,0,noche
7,0,-5.0,0,noche
8,0,40.0,1,noche
9,0,69.0,1,noche
10,1,-9.0,0,noche
11,1,14.0,0,noche
12,1,-7.0,0,noche
13,1,-4.000000000000001,0,noche
14,1,-11.0,0,noche
15,1,-9.0,0,noche
16,1,-9.0,0,noche
17,1,-12.0,0,noche
18,1,15.0,0,noche
19,1,-2.0000000000000004,0,noche
20,1,2.0000000000000004,0,noche
21,0,8.000000000000002,0,noche
22,0,-5.0,0,noche
23,0,52.0,1,noche
24,0,-5.0,0,noche
25,0,0.0,0,noche
26,0,26.0,1,noche
27,0,-3.0,0,noche
28,0,-5.0,0,noche
29,1,2.0000000000000004,0,noche
30,1,2.0000000000000004,0,noche
31,1,-7.0,0,noche
32,1,-1.0000000000000002,0,noche
33,1,5.0,0,noche
34,1,-4.000000000000001,0,noche
35,1,1.0000000000000002,0,noche
36,1,-5.0,0,noche
37,1,3.0,0,noche
38,1,-2.0000000000000004,0,noche
39,1,-4.000000000000001,0,noche
40,1,-6.0,0,noche
41,1,4.000000000000001,0,noche
42,1,-4.000000000000001,0,noche
43,1,-4.000000000000001,0,noche
44,1,-9.0,0,noche
45,1,-10.0,0,noche
46,1,0.0,0,noche
47,1,-2.0000000000000004,0,noche
48,1,1.0000000000000002,0,noche
49,1,-4.000000000000001,0,noche
50,1,10.0,0,noche
51,0,20.0,1,noche
52,0,11.0,0,noche
53,0,24.0,1,noche
54,0,-5.0,0,noche
55,0,-7.0,0,noche
56,0,14.0,0,noche
57,0,5.0,0,noche
58,0,0.0,0,noche
59,1,25.0,1,noche
60,1,1.0000000000000002,0,noche
61,1,0.0,0,noche
62,1,-4.000000000000001,0,noche
63,1,13.0,0,noche
64,1,-3.0,0,noche
65,1,2.0000000000000004,0,noche
66,1,-5.0,0,noche
67,1,0.0,0,noche
68,1,-2.0000000000000004,0,noche
69,1,3.0,0,noche
70,1,-9.0,0,noche
71,1,5.0,0,noche
72,1,-3.0,0,noche
73,1,-4.000000000000001,0,noche
74,1,-10.0,0,noche
75,1,-9.0,0,noche
76,1,62.00000000000001,1,noche
77,1,2.0000000000000004,0,noche
78,1,-8.000000000000002,0,noche
79,1,19.0,1,tarde
80,1,60.0,1,tarde
81,1,17.000000000000004,1,tarde
82,0,26.0,1,tarde
83,0,14.0,0,tarde
84,0,67.00000000000001,1,tarde
85,0,84.0,1,tarde
86,0,63.00000000000001,1,tarde
87,0,97.0,1,tarde
88,0,17.000000000000004,1,tarde
89,0,90.0,1,tarde
90,1,130.00000000000003,1,tarde
91,1,24.0,1,tarde
92,1,77.0,1,tarde
93,1,32.00000000000001,1,tarde
94,1,39.0,1,tarde
95,1,48.0,1,tarde
96,1,6.0,0,tarde
97,1,2.0000000000000004,0,tarde
98,1,28.0,1,tarde
99,1,11.0,0,tarde
100,1,33.00000000000001,1,tarde
101,1,69.0,1,tarde
102,1,20.0,1,tarde
103,1,3.0,0,tarde
104,1,22.0,1,tarde
105,1,21.0,1,tarde
106,1,22.0,1,tarde
107,1,27.0,1,tarde
108,1,6.0,0,tarde
109,1,20.0,1,noche
110,1,17.000000000000004,1,noche
111,1,19.0,1,noche
112,0,47.0,1,noche
113,0,5.0,0,noche
114,0,63.00000000000001,1,noche
115,0,55.0,1,noche
116,0,53.0,1,noche
117,0,105.0,1,noche
118,0,20.0,1,noche
119,0,72.0,1,noche
120,1,26.0,1,noche
121,1,99.0,1,noche
122,1,52.0,1,noche
123,1,33.00000000000001,1,noche
124,1,147.0,1,noche
125,1,18.0,1,noche
126,1,25.0,1,noche
127,1,5.0,0,noche
128,1,21.0,1,noche
129,1,13.0,0,noche
130,1,21.0,1,noche
131,1,11.0,0,noche
132,1,-4.000000000000001,0,noche
133,1,-1.0000000000000002,0,noche
134,1,8.000000000000002,0,noche
135,1,6.0,0,noche
136,1,-4.000000000000001,0,noche
137,1,6.0,0,noche
138,1,-4.000000000000001,0,tarde
139,1,0.0,0,tarde
140,1,3.0,0,tarde
141,0,-1.0000000000000002,0,tarde
142,0,-10.0,0,tarde
143,0,16.000000000000004,1,tarde
144,0,-1.0000000000000002,0,tarde
145,0,1.0000000000000002,0,tarde
146,0,14.0,0,tarde
147,0,8.000000000000002,0,tarde
148,0,7.0,0,tarde
149,1,7.0,0,tarde
150,1,5.0,0,tarde
151,1,17.000000000000004,1,tarde
152,1,1.0000000000000002,0,tarde
153,1,12.0,0,tarde
154,1,-3.0,0,tarde
155,1,33.00000000000001,1,tarde
156,1,6.0,0,tarde
157,1,-4.000000000000001,0,tarde
158,1,8.000000000000002,0,tarde
159,1,7.0,0,tarde
160,1,-1.0000000000000002,0,tarde
161,1,3.0,0,tarde
162,1,-7.0,0,tarde
163,1,12.0,0,tarde
164,1,-2.0000000000000004,0,tarde
165,1,7.0,0,tarde
166,1,14.0,0,tarde
167,1,14.0,0,tarde
168,1,-5.0,0,tarde
169,1,-11.0,0,noche
170,1,13.0,0,noche
171,1,-2.0000000000000004,0,noche
172,0,-12.0,0,noche
173,0,7.0,0,noche
174,0,-1.0000000000000002,0,noche
175,0,14.0,0,noche
176,0,-7.0,0,noche
177,0,-6.0,0,noche
178,0,0.0,0,noche
179,0,-3.0,0,noche
180,1,-9.0,0,noche
181,1,-4.000000000000001,0,noche
182,1,-2.0000000000000004,0,noche
183,1,-7.0,0,noche
184,1,-3.0,0,noche
185,1,1.0000000000000002,0,noche
186,1,4.000000000000001,0,noche
187,1,-9.0,0,noche
188,1,138.0,1,noche
189,1,-1.0000000000000002,0,noche
190,1,-13.0,0,noche
191,1,-11.0,0,noche
192,1,-11.0,0,noche
193,1,-9.0,0,noche
194,1,-7.0,0,noche
195,1,-5.0,0,noche
196,1,-1.0000000000000002,0,noche
197,1,-2.0000000000000004,0,noche
198,1,13.0,0,noche
199,1,-9.0,0,noche
200,0,-1.0000000000000002,0,noche
201,1,-10.0,0,mañana
202,1,2.0000000000000004,0,mañana
203,1,-2.0000000000000004,0,mañana
204,0,31.000000000000004,1,mañana
205,0,18.0,1,mañana
206,0,-13.0,0,mañana
207,0,-6.0,0,mañana
208,0,0.0,0,mañana
209,0,20.0,1,mañana
210,0,8.000000000000002,0,mañana
211,0,11.0,0,mañana
212,1,-8.000000000000002,0,mañana
213,1,88.0,1,mañana
214,1,17.000000000000004,1,mañana
215,1,27.0,1,mañana
216,1,2.0000000000000004,0,mañana
217,1,1.0000000000000002,0,mañana
218,1,33.00000000000001,1,mañana
219,1,11.0,0,mañana
220,1,2.0000000000000004,0,mañana
221,1,10.0,0,mañana
222,1,-5.0,0,mañana
223,1,-1.0000000000000002,0,mañana
224,1,-12.0,0,mañana
225,1,-5.0,0,mañana
226,1,-3.0,0,mañana
227,1,-10.0,0,mañana
228,1,3.0,0,mañana
229,1,1.0000000000000002,0,mañana
230,1,1.0000000000000002,0,mañana
231,0,35.0,1,mañana
232,0,-11.0,0,mañana
233,0,-11.0,0,mañana
234,0,-10.0,0,mañana
235,0,6.0,0,mañana
236,0,14.0,0,mañana
237,0,-7.0,0,mañana
238,1,-11.0,0,mañana
239,1,0.0,0,mañana
240,1,5.0,0,mañana
241,1,18.0,1,mañana
242,1,-8.000000000000002,0,mañana
243,1,-1.0000000000000002,0,mañana
244,1,-11.0,0,mañana
245,1,17.000000000000004,1,mañana
246,1,15.0,0,mañana
247,1,1.0000000000000002,0,mañana
